,tx_magface,ty_magface,labels,path
0,0.383388,0.29827407,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/1015.jpg
1,0.19626147,0.12759073,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/1069.jpg
2,0.3685053,0.23311216,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/494.jpg
3,0.23408014,0.18117419,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/1167.jpg
4,0.25835362,0.096806675,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/1233.jpg
5,0.47208682,0.019316884,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/944.jpg
6,0.45465627,0.20182507,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/531.jpg
7,0.46915418,0.05076256,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/1038.jpg
8,0.33598867,0.124077015,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/757.jpg
9,0.46351853,0.029480303,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/982.jpg
10,0.23968491,0.16685364,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/1180.jpg
11,0.32418376,0.13635896,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/769.jpg
12,0.27024627,0.098327085,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/1203.jpg
13,0.45051125,0.14609289,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/670.jpg
14,0.39599025,0.26974505,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/990.jpg
15,0.2456863,0.18316916,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/1149.jpg
16,0.48711053,0.19454233,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/620.jpg
17,0.43359014,0.07712088,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/807.jpg
18,0.4871651,0.1952768,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/622.jpg
19,0.29920354,0.10018208,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/1058.jpg
20,0.27468476,0.16487859,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/1105.jpg
21,0.4890455,0.031227386,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/922.jpg
22,0.4496795,0.20080805,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/526.jpg
23,0.5226593,0.3370066,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/319.jpg
24,0.32510197,0.13320927,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/765.jpg
25,0.46174455,0.017074471,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/976.jpg
26,0.45664585,0.17184848,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/595.jpg
27,0.44136286,0.11351206,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/863.jpg
28,0.37188616,0.11860578,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/823.jpg
29,0.44583032,0.1453627,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/676.jpg
30,0.48457238,0.13385473,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/696.jpg
31,0.47701338,0.024253957,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/934.jpg
32,0.43882427,0.3436272,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/484.jpg
33,0.49645776,0.1432283,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/709.jpg
34,0.4351779,0.34052965,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/486.jpg
35,0.37011343,0.2354239,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/492.jpg
36,0.42895725,0.052184343,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/1054.jpg
37,0.37145835,0.22880869,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/499.jpg
38,0.47280312,0.14038907,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/691.jpg
39,0.35427856,0.16388062,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/516.jpg
40,0.5009216,0.37168062,rtsp_10.14.30.211_5_person_0,/home/chaki/Projects/gods_eye/output/ptz_good_test_2/rtsp_10.14.30.211_5_person_0/375.jpg
